ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
MDG	9946995390	20714000	Madagascar	MAD	4	3	7	0.033793569566477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MWI	5700383783	14901000	Malawi	MAW	2	1	3	0.020132876988122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MYS	278671000000	28401000	Malaysia	MAS	13	17	30	0.105630083447766	0	1	0	1	0	0.003521002781592	0	0.003521002781592	0	0.003588460944985	0	0.003588460944985	0	0.033333333333333	0	0.033333333333333	0	0.7	0	0.7	0	0.73	0	0.73	0	5	0	5	1.46	1.4	10	53	48	58	45		2
MDV	2050135788	316000	Maldives	MDV	2	3	5	1.58227848101266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MLI	10589925352	15370000	Mali	MLI	2	4	6	0.039037085230969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MLT	8886572143	416000	Malta	MLT	2	3	5	1.20192307692308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MHL	173700000	54038	Marshall Islands	MHL	2	2	4	7.40219845294052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MRT	4075675053	3460000	Mauritania	MTN	1	1	2	0.057803468208092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MUS	11313454891	1281000	Mauritius	MRI	7	4	11	0.858704137392662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
MEX	1155320000000	113423000	Mexico	MEX	38	68	106	0.093455471994216	0	3	2	5	0.001763310792344	0.002644966188516	0	0.004408276980859	0.001731122113354	0.002596683170031	0	0.004327805283385	0.018867924528302	0.028301886792453	0	0.047169811320755	0.3	0.5	0	0.8	0.27	0.53	0	0.8	2.37	4.25	0	6.62	1.33	1.3	10.87	30	51	59	41		8
