ISO	GDP.2011	pop.2010	Country.name	NOC	F.2012	M.2012	NOC SIZE	NOC.Size.Per.100K.pop	Gold	Silver	Bronze	Total	Bronze.Per.100K.pop	Silver.Per.100K.pop	Gold.Per.100K.pop	Total.Per.100K.pop	Bronze.Per.1BN.GDP	Silver.Per.1BN.GDP	Gold.Per.1BN.GDP	Total.Per.1BN.GDP	Bronze.Per.Athlete	Silver.Per.Athlete	Gold.Per.Athlete	Total.Per.Athlete	Bronze.pop	Silver.pop	Gold.pop	Total.pop	Bronze.GDP	Silver.GDP	Gold.GDP	Total.GDP	Bronze.Athlete	Silver.Athlete	Gold.Athlete	Total.Athlete	GDP rank score	Population rank score	Athlete rank score	Official medal ranking	GDP rank	Pop rank	Team size rank		Total medal score (gold=3, silver =2, bronze=1)
SYC	1007186292	87000	Seychelles	SEY	2	4	6	6.89655172413793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SLE	2242960927	5867000	Sierra Leone	SLE	1	1	2	0.034088972217488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SGP	239700000000	5077000	Singapore	SIN	15	8	23	0.453023439038802	0	0	1	1	0.019696671262557	0	0	0.019696671262557	0.004171881518565	0	0	0.004171881518565	0.043478260869565	0	0	0.043478260869565	3.4	0	0	3.4	0.65	0	0	0.65	5.47	0	0	5.47	0.65	3.4	5.47	61	63	48	58		1
SVK	95994147901	5430000	Slovakia	SVK	20	26	46	0.847145488029466	0	1	3	4	0.05524861878453	0.01841620626151	0	0.07366482504604	0.031251905096277	0.010417301698759	0	0.041669206795036	0.065217391304348	0.021739130434783	0	0.08695652173913	9.6	3.7	0	13.3	4.9	2.12	0	7.02	8.21	3.26	0	11.47	9.14	17	14.73	35	26	18	30		5
SVN	49539271105	2049000	Slovenia	SLO	40	28	68	3.31869204489995	1	1	2	4	0.097608589555881	0.04880429477794	0.04880429477794	0.195217179111762	0.040372011040714	0.020186005520357	0.020186005520357	0.080744022081429	0.029411764705882	0.014705882352941	0.014705882352941	0.058823529411765	16.9	9.8	5.2	31.9	6.33	4.11	1.79	12.23	3.7	2.21	2.57	8.48	19.92	52.1	15.83	33	13	2	27		7
SLB	838022104.9	538000	Solomon Islands	SOL	2	2	4	0.743494423791822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SOM	1071000000	9331000	Somalia	SOM	1	1	2	0.021433929911049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ZAF	408237000000	49991000	South Africa	RSA	64	69	133	0.266047888619952	3	1	0	4	0	0.002000360064812	0.006001080194435	0.008001440259247	0	0.00244955748744	0.00734867246232	0.00979822994976	0	0.007518796992481	0.022556390977444	0.030075187969925	0	0.4	0.6	1	0	0.5	0.65	1.15	0	1.13	3.94	5.07	2.95	2.6	14.08	23	40	52	32		11
KOR	1116250000000	48875000	South Korea	KOR	114	141	255	0.521739130434783	11	5	6	22	0.01227621483376	0.010230179028133	0.022506393861893	0.045012787723785	0.005375139977604	0.00447928331467	0.009854423292273	0.019708846584546	0.023529411764706	0.019607843137255	0.043137254901961	0.086274509803922	2.1	2.1	2.4	6.6	0.84	0.91	0.87	2.62	2.96	2.94	7.53	13.43	5.27	13.5	31.43	6	32	22	6		49
ESP	1490810000000	46071000	Spain	ESP	114	175	289	0.627292656985956	0	2	1	3	0.002170562826941	0.004341125653882	0	0.006511688480823	0.0006707762894	0.001341552578799	0	0.002012328868199	0.003460207612457	0.006920415224914	0	0.01038062283737	0.4	0.9	0	1.3	0.11	0.27	0	0.38	0.44	1.04	0	1.48	0.65	2.2	2.52	35	63	54	66		5
LKA	59172135299	20860000	Sri Lanka	SRI	3	4	7	0.033557046979866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SDN	55097394769	43552000	Sudan	SUD	2	4	6	0.013776634827333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SUR	3790000000	525000	Surinam	SUR	2	3	5	0.952380952380952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SWZ	3977754360	1056000	Swaziland	SWZ	1	2	3	0.284090909090909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
SWE	538131000000	9378000	Sweden	SWE	84	56	140	1.49285561953508	1	3	2	6	0.021326508850501	0.031989763275752	0.010663254425251	0.063979526551504	0.003716567155581	0.005574850733372	0.001858283577791	0.011149701466743	0.014285714285714	0.021428571428571	0.007142857142857	0.042857142857143	3.7	6.4	1.1	11.2	0.58	1.13	0.16	1.87	1.8	3.22	1.25	6.27	3.32	19.8	11.99	23	38	14	38		11
CHE	635650000000	7826000	Switzerland	SUI	30	76	106	1.35445949399438	1	1	0	2	0	0.012777919754664	0.012777919754664	0.025555839509328	0	0.001573192794777	0.001573192794777	0.003146385589554	0	0.009433962264151	0.009433962264151	0.018867924528302	0	2.6	1.4	4	0	0.32	0.14	0.46	0	1.42	1.65	3.07	1.06	9.4	7.79	35	56	30	51		5
SYR	59834000000	20447000	Syria	SYR	4	6	10	0.048906930111997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
TWN	876,035,000,000	23174528	Taiwan	TPE	25	19	44	0.189863629585034	0	1	0	1	0	0.004315082490569	0	0.004315082490569	0	0.001141506903263	0	0.001141506903263	0	0.022727272727273	0	0.022727272727273	0	0.9	0	0.9	0	0.23	0	0.23	0	3.41	0	3.41	0.46	1.8	6.82	53	66	55	54		2
TJK	6522200291	6879000	Tajikistan	TJK	3	13	16	0.232591946503852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
TZA	23705302063	44841000	Tanzania	TAN	2	5	7	0.015610713409603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
THA	345649000000	69122000	Thailand	THA	18	19	37	0.053528543734267	0	1	0	1	0	0.001446717398223	0	0.001446717398223	0	0.002893108326655	0	0.002893108326655	0	0.027027027027027	0	0.027027027027027	0	0.3	0	0.3	0	0.59	0	0.59	0	4.06	0	4.06	1.18	0.6	8.12	53	53	64	48		2
TGO	3594513925	6028000	Togo	TOG	2	4	6	0.099535500995355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
TON	435589199.6	104000	Tonga	TGA	1	2	3	2.88461538461538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
TTO	22483115868	1341000	Trinidad and Tobago	TRI	10	21	31	2.3117076808352	0	0	1	1	0.074571215510813	0	0	0.074571215510813	0.044477820862156	0	0	0.044477820862156	0.032258064516129	0	0	0.032258064516129	12.9	0	0	12.9	6.98	0	0	6.98	4.06	0	0	4.06	6.98	12.9	4.06	61	30	23	63		1
TUN	45863804800	10549000	Tunisia	TUN	20	64	84	0.79628400796284	0	1	1	2	0.009479571523367	0.009479571523367	0	0.018959143046734	0.021803686029991	0.021803686029991	0	0.043607372059982	0.011904761904762	0.011904761904762	0	0.023809523809524	1.6	1.9	0	3.5	3.42	4.44	0	7.86	1.5	1.79	0	3.29	12.3	5.4	5.08	45	21	44	60		3
TUR	773091000000	72752000	Turkey	TUR	66	48	114	0.156696723114141	0	0	1	1	0.001374532658896	0	0	0.001374532658896	0.001293508784865	0	0	0.001293508784865	0.008771929824561	0	0	0.008771929824561	0.2	0	0	0.2	0.2	0	0	0.2	1.1	0	0	1.1	0.2	0.2	1.1	61	70	69	69		1
TKM	24107017544	5042000	Turkmenistan	TKM	3	7	10	0.198333994446648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
TUV	35784426.83	9827	Tuvalu	TUV	1	2	3	30.5281367660527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
UGA	16809623489	33424000	Uganda	UGA	5	11	16	0.047869794159885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
GBR	2431590000000	62232000	UK	GBR	269	287	556	0.893431032266358	18	11	11	40	0.017675793803831	0.017675793803831	0.02892402622445	0.064275613832112	0.004523788961132	0.004523788961132	0.00740256375458	0.016450141676845	0.01978417266187	0.01978417266187	0.032374100719424	0.071942446043166	3.1	3.5	3.1	9.7	0.71	0.92	0.66	2.29	2.49	2.97	5.65	11.11	4.53	19.4	25.38	3	34	15	11		87
UKR	165245000000	45871000	Ukraine	UKR	115	121	236	0.514486276732576	0	6	9	15	0.01962023936692	0.013080159577947	0	0.032700398944867	0.054464582892069	0.036309721928046	0	0.090774304820116	0.038135593220339	0.025423728813559	0	0.063559322033898	3.4	2.6	0	6	8.55	7.39	0	15.94	4.8	3.82	0	8.62	23.33	8.6	12.44	11	12	32	35		21
ARE	360245000000	7512000	United Arab Emirates	UAE	2	28	30	0.399361022364217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
URY	46709797684	3357000	Uruguay	URU	3	30	33	0.98302055406613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
USA	15094000000000	309349000	US	USA	271	260	531	0.171650789238045	29	15	19	63	0.006141930311719	0.004848892351357	0.009374525212624	0.0203653478757	0.001258778322512	0.000993772359878	0.001921293229098	0.004173843911488	0.03578154425612	0.028248587570622	0.054613935969868	0.11864406779661	1.1	1	1	3.1	0.2	0.2	0.17	0.57	4.5	4.24	9.53	18.27	1.11	6.1	41.57	2	55	42	3		136
UZB	45359432355	28228000	Uzbekistan	UZB	18	36	54	0.191299419016579	0	0	1	1	0.00354258183364	0	0	0.00354258183364	0.022046131269316	0	0	0.022046131269316	0.018518518518518	0	0	0.018518518518518	0.6	0	0	0.6	3.46	0	0	3.46	2.33	0	0	2.33	3.46	0.6	2.33	61	37	64	68		1
VUT	819227088.4	240000	Vanuatu	VAN	2	3	5	2.08333333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
VEN	316482000000	28834000	Venezuela	VEN	27	42	69	0.239300825414441	1	0	0	1	0	0	0.003468127904557	0.003468127904557	0	0	0.00315973736263	0.00315973736263	0	0	0.014492753623188	0.014492753623188	0	0	0.4	0.4	0	0	0.28	0.28	0	0	2.53	2.53	0.84	1.2	7.59	45	60	61	52		3
VNM	123961000000	86928000	Vietnam	VIE	12	6	18	0.02070679182772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
VIR	1577000000	110000	Virgin Islands	ISV	3	4	7	6.36363636363636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
YEM	33757503322	24053000	Yemen	YEM	1	3	4	0.016629942210951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ZMB	19206011889	12927000	Zambia	ZAM	2	5	7	0.054150228204533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
ZWE	9900000000	12571000	Zimbabwe	ZIM	3	4	7	0.055683716490335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	71	70	71		0
